Criptomoneda,Precio,Fecha,Horas,Minutos,Segundos
BTCUSDT,50104.13,2024-02-12,22,22,8
ETHUSDT,2669.11,2024-02-12,22,22,8
TRXUSDT,0.12515,2024-02-12,22,22,8
BTCUSDT,50103.99,2024-02-12,22,22,38
ETHUSDT,2669.62,2024-02-12,22,22,38
TRXUSDT,0.12516,2024-02-12,22,22,38
BTCUSDT,50096.83,2024-02-12,22,23,8
ETHUSDT,2669.52,2024-02-12,22,23,8
TRXUSDT,0.12515,2024-02-12,22,23,8
BTCUSDT,50096.82,2024-02-12,22,23,39
ETHUSDT,2669.42,2024-02-12,22,23,39
TRXUSDT,0.12515,2024-02-12,22,23,39
BTCUSDT,50100.0,2024-02-12,22,24,9
ETHUSDT,2669.98,2024-02-12,22,24,9
TRXUSDT,0.12518,2024-02-12,22,24,9
BTCUSDT,50093.81,2024-02-12,22,24,40
ETHUSDT,2669.22,2024-02-12,22,24,40
TRXUSDT,0.12518,2024-02-12,22,24,40
BTCUSDT,50097.7,2024-02-12,22,25,10
ETHUSDT,2668.22,2024-02-12,22,25,10
TRXUSDT,0.12515,2024-02-12,22,25,10
BTCUSDT,50079.59,2024-02-12,22,25,41
ETHUSDT,2667.61,2024-02-12,22,25,41
TRXUSDT,0.12512,2024-02-12,22,25,41
BTCUSDT,50083.98,2024-02-12,22,26,11
ETHUSDT,2668.75,2024-02-12,22,26,11
TRXUSDT,0.12509,2024-02-12,22,26,11
BTCUSDT,50080.69,2024-02-12,22,26,42
ETHUSDT,2669.05,2024-02-12,22,26,42
TRXUSDT,0.12507,2024-02-12,22,26,42
BTCUSDT,50071.91,2024-02-12,22,27,12
ETHUSDT,2668.52,2024-02-12,22,27,12
TRXUSDT,0.12507,2024-02-12,22,27,12
BTCUSDT,50064.96,2024-02-12,22,27,42
ETHUSDT,2667.83,2024-02-12,22,27,42
TRXUSDT,0.12508,2024-02-12,22,27,42
BTCUSDT,50068.89,2024-02-12,22,28,13
ETHUSDT,2667.84,2024-02-12,22,28,13
TRXUSDT,0.12508,2024-02-12,22,28,13
BTCUSDT,50068.9,2024-02-12,22,28,44
ETHUSDT,2667.81,2024-02-12,22,28,44
TRXUSDT,0.12506,2024-02-12,22,28,44
BTCUSDT,50090.99,2024-02-12,22,29,14
ETHUSDT,2667.99,2024-02-12,22,29,14
TRXUSDT,0.12506,2024-02-12,22,29,14
BTCUSDT,50076.0,2024-02-12,22,29,44
ETHUSDT,2667.3,2024-02-12,22,29,44
TRXUSDT,0.12508,2024-02-12,22,29,44
BTCUSDT,50078.84,2024-02-12,22,30,15
ETHUSDT,2667.53,2024-02-12,22,30,15
TRXUSDT,0.12505,2024-02-12,22,30,15
BTCUSDT,50090.94,2024-02-12,22,30,46
ETHUSDT,2669.22,2024-02-12,22,30,46
TRXUSDT,0.12506,2024-02-12,22,30,46
BTCUSDT,50090.93,2024-02-12,22,31,16
ETHUSDT,2669.85,2024-02-12,22,31,16
TRXUSDT,0.12506,2024-02-12,22,31,16
BTCUSDT,50090.93,2024-02-12,22,31,46
ETHUSDT,2670.23,2024-02-12,22,31,46
TRXUSDT,0.12511,2024-02-12,22,31,46
BTCUSDT,50090.93,2024-02-12,22,32,17
ETHUSDT,2670.6,2024-02-12,22,32,17
TRXUSDT,0.12511,2024-02-12,22,32,17
BTCUSDT,50090.94,2024-02-12,22,32,47
ETHUSDT,2670.81,2024-02-12,22,32,47
TRXUSDT,0.12509,2024-02-12,22,32,47
BTCUSDT,50103.69,2024-02-12,22,33,18
ETHUSDT,2671.27,2024-02-12,22,33,18
TRXUSDT,0.1251,2024-02-12,22,33,18
BTCUSDT,50118.63,2024-02-12,22,33,48
ETHUSDT,2671.72,2024-02-12,22,33,48
TRXUSDT,0.12511,2024-02-12,22,33,48
BTCUSDT,50129.61,2024-02-12,22,34,18
ETHUSDT,2672.48,2024-02-12,22,34,18
TRXUSDT,0.12512,2024-02-12,22,34,18
BTCUSDT,50129.62,2024-02-12,22,34,49
ETHUSDT,2672.39,2024-02-12,22,34,49
TRXUSDT,0.12512,2024-02-12,22,34,49
BTCUSDT,50144.14,2024-02-12,22,35,19
ETHUSDT,2672.76,2024-02-12,22,35,19
TRXUSDT,0.12511,2024-02-12,22,35,19
BTCUSDT,50154.55,2024-02-12,22,35,51
ETHUSDT,2673.21,2024-02-12,22,35,51
TRXUSDT,0.12512,2024-02-12,22,35,51
